"name","id","top_category","rating","review_count"
"Luna Blu","luna-blu-tiburon","italian",4.5,257
"Napa Valley Burger Company","napa-valley-burger-company-sausalito","newamerican",4.0,556
"The Cove Cafe","the-cove-cafe-san-francisco","tradamerican",3.0,32
"Sandrino","sandrino-sausalito-5","pizza",4.5,120
"Fish","fish-sausalito","seafood",4.0,1699
"Sausalito Gourmet Delicatessen","sausalito-gourmet-delicatessen-sausalito","delis",4.5,141
"The Codmother Fish and Chips","the-codmother-fish-and-chips-san-francisco","british",4.5,2030
"Venice Gourmet","venice-gourmet-sausalito","delis",4.0,134
"Le Garage","le-garage-sausalito","french",4.0,967
"Don Antonio Trattoria","don-antonio-trattoria-tiburon","italian",4.0,215
"Lighthouse Cafe","lighthouse-cafe-sausalito","breakfast_brunch",4.0,405
"Sausalito Bakery and Cafe","sausalito-bakery-and-cafe-sausalito","bakeries",4.0,230
"Tanguito","tanguito-san-francisco","argentine",4.0,483
"Fog Harbor Fish House","fog-harbor-fish-house-san-francisco-2","seafood",4.0,2582
"Barrel House Tavern","barrel-house-tavern-sausalito","newamerican",4.0,495
"New Morning Cafe","new-morning-cafe-tiburon","breakfast_brunch",4.0,181
"Cholita Linda","cholita-linda-san-francisco","latin",4.5,28
"Hot Spud","hot-spud-san-francisco","gluten_free",4.5,372
"Cafe de Casa","cafe-de-casa-san-francisco-3","coffee",5.0,102
"Lily Kai","lily-kai-tiburon","chinese",4.0,129
